rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22.0,2003.0,19,17,1526,17.0,4,5,9,4,0,0,1,0,0.24,0.29,0.53,0.24,0.53,0.24,0.0,0.0,0.06,0.0
2,Liel Abada,il ISR,MFFW,Charlotte,24.0,2001.0,13,8,640,7.1,2,3,5,1,1,1,2,0,0.28,0.42,0.7,0.14,0.56,0.14,0.14,0.14,0.28,0.0
3,Ezequiel Abadia-Reda,us USA,DF,Inter Miami,20.0,2006.0,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Wessam Abou Ali,ps PLE,FW,Columbus Crew,27.0,1999.0,7,7,565,6.3,5,1,6,5,0,1,1,0,0.8,0.16,0.96,0.8,0.96,0.8,0.0,0.16,0.16,0.0
5,Lalas Abubakar,gh GHA,DF,FC Dallas,31.0,1994.0,2,2,143,1.6,1,0,1,1,0,0,1,0,0.63,0.0,0.63,0.63,0.63,0.63,0.0,0.0,0.63,0.0
6,Elias Achouri,tn TUN,FWMF,San Diego FC,27.0,1999.0,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Bryan Acosta,hn HON,MF,Nashville SC,32.0,1993.0,11,7,600,6.7,2,1,3,2,0,0,2,0,0.3,0.15,0.45,0.3,0.45,0.3,0.0,0.0,0.3,0.0
8,Chase Adams,us USA,FW,Columbus Crew,18.0,2008.0,4,1,60,0.7,1,0,1,1,0,0,0,0,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0
9,Sam Adekugbe,ca CAN,DFMF,Vancouver,31.0,1995.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Nonso Adimabua,ng NGA,FW,SJ Earthquakes,25.0,2000.0,2,1,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,0.0,1.96,0.0,0.0,0.0,0.0,0.0
