,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-357,2003,19,17,1526,17.0,4,5,9,4,0,0,1,0,0.24,0.29,0.53,0.24,0.53,Matches,4cd41883
2,Liel Abada,il ISR,MFFW,Charlotte,24-319,2001,13,8,640,7.1,2,3,5,1,1,1,2,0,0.28,0.42,0.70,0.14,0.56,Matches,1339039e
3,Ezequiel Abadia-Reda,us USA,DF,Inter Miami,20-178,2006,3,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,629aac47
4,Wessam Abou Ali,ps PLE,FW,Columbus Crew,27-226,1999,7,7,565,6.3,5,1,6,5,0,1,1,0,0.80,0.16,0.96,0.80,0.96,Matches,a06467dc
5,Lalas Abubakar,gh GHA,DF,FC Dallas,31-236,1994,2,2,143,1.6,1,0,1,1,0,0,1,0,0.63,0.00,0.63,0.63,0.63,Matches,4a67f05b
6,Elias Achouri,tn TUN,FWMF,San Diego FC,27-189,1999,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4dd2a0be
7,Bryan Acosta,hn HON,MF,Nashville SC,32-267,1993,11,7,600,6.7,2,1,3,2,0,0,2,0,0.30,0.15,0.45,0.30,0.45,Matches,c5f400f4
8,Chase Adams,us USA,FW,Columbus Crew,18-123,2008,4,1,60,0.7,1,0,1,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,Matches,f63e3ee3
9,Sam Adekugbe,ca CAN,DFMF,Vancouver,31-214,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f2309be
10,Nonso Adimabua,ng NGA,FW,SJ Earthquakes,25-345,2000,2,1,46,0.5,0,1,1,0,0,0,0,0,0.00,1.96,1.96,0.00,1.96,Matches,b802b7bc
11,Stephen Afrifa,ca CAN,MF,Sporting KC,25-180,2001,15,1,326,3.6,1,1,2,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,Matches,cea02b5b
12,Kwaku Agyabeng,gh GHA,MFDF,Sporting KC,20-052,2006,12,4,459,5.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,85ae83c8
13,Morrison Agyemang,gh GHA,DF,Charlotte,21-240,2004,17,16,1485,16.5,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,65bf5126
14,Jorge Alastuey,es ESP,MF,Austin FC,23-096,2003,2,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b45ac00
